"Blocking Key Value","Frequency"
"","3"
"SCPHAN","2"
"EQLE","1"
"HO","5"
"REES","6"
"TEHE","2"
"WHFOAN","6"
"NEANOT","4"
"TREQ","1"
"DIOUSE","4"
"MEPRAN","7"
"MOVE&","11"
"TRANLO","3"
"ME","8"
"SPREOT","18"
"HECAPH","6"
"FO&AG","6"
"ED","19"
"BU&LE","44"
"IN","11"
"LI&CO","25"
"SCRE","17"
"INSEAN","9"
"AI","6"
"DIFI","12"
"EN","42"
"SEANOT","12"
"FOPR","7"
"INTESE","8"
"AP","7"
"RA","3"
"AE&DE","11"
"COBA","20"
"FO&DR","5"
"ELELEQ","4"
"PACO","9"
"EN&CO","7"
"HECAME","5"
"BUMAGL","2"
"HOANPE","6"
"WHDI","10"
"BE","4"
"AEANDE","1"
"MICRPR","11"
"FIDASE","7"
"AURESE","10"
"HECAIN","6"
"FOANPA","1"
"HOCARE","6"
"PERE","8"
"SPREAP","7"
"SE","8"
"OIANGA","3"
"FI&IN","75"
"HOEQFU","5"
"HOES","21"
"INPRAN","25"
"COSO","5"
"GEME","9"
"COANFA","6"
"EN&WE","11"
"FOCOPR","13"
"INMA","8"
"RE&CO","28"
"GE","30"
"INLIHE","20"
"PUPR","2"
"WHHECA","4"
"CH","13"
"GO","43"
"ADMA","2"
"WHELAN","5"
"UTGAAN","22"
"MAPAAN","2"
"TE","8"
"WAMA","2"
"TRTRLE","2"
"PH","11"
"PI","10"
"FOSE","4"
"TO","2"
"COOFEQ","8"
"DA","98"
"HE","40"
"TR","28"
