US 500 Companies,Forbes Top 2000 Companies,Similarity Score,Value in US 500 Companies Dataset,Value in Forbes Top 2000 Companies Dataset
us_companies_id_1012,top_2000_id_1024,1,,
us_companies_id_1078,top_2000_id_2372,1,,
us_companies_id_1044,top_2000_id_1009,1,,
us_companies_id_1066,top_2000_id_1172,1,,
us_companies_id_1298,top_2000_id_1117,1,,
us_companies_id_1399,top_2000_id_1482,1,,
us_companies_id_1470,top_2000_id_1344,1,,
us_companies_id_1086,top_2000_id_1018,1,,
us_companies_id_1141,top_2000_id_1217,1,,
us_companies_id_1050,top_2000_id_1245,1,,
us_companies_id_1158,top_2000_id_2080,1,,
us_companies_id_1514,top_2000_id_2533,1,,
us_companies_id_1005,top_2000_id_1305,1,,
us_companies_id_1304,top_2000_id_1425,1,,
us_companies_id_1221,top_2000_id_1032,1,,
us_companies_id_1146,top_2000_id_1620,1,,
us_companies_id_1178,top_2000_id_1516,1,,
us_companies_id_1520,top_2000_id_1602,1,,
us_companies_id_1085,top_2000_id_1327,1,,
us_companies_id_1461,top_2000_id_2528,1,,
us_companies_id_1412,top_2000_id_1201,1,,
us_companies_id_1303,top_2000_id_2279,1,,
us_companies_id_1456,top_2000_id_2066,0.923076923,,
us_companies_id_1072,top_2000_id_2001,0.833333333,CARFAX,CarMax
us_companies_id_1249,top_2000_id_1002,0.823529412,,
us_companies_id_1227,top_2000_id_1300,0.8,Impaq International,Wilmar International
us_companies_id_1324,top_2000_id_1088,0.789473684,Noveda Technologies,United Technologies
us_companies_id_1419,top_2000_id_1480,0.769230769,Simple Energy,Sempra Energy
us_companies_id_1247,top_2000_id_2512,0.769230769,IW Financial,BOK Financial
us_companies_id_1014,top_2000_id_1705,0.75,AllState Insurance Group,RSA Insurance Group
us_companies_id_1092,top_2000_id_2634,0.75,Civis Analytics,Verisk Analytics
us_companies_id_1002,top_2000_id_1806,0.727272727,5PSolutions,Resolution
us_companies_id_1065,top_2000_id_1939,0.727272727,CAN Capital,RHB Capital
us_companies_id_1400,top_2000_id_1312,0.727272727,REI Systems,BAE Systems
us_companies_id_1460,top_2000_id_1495,0.714285714,Tendril,Tenaris
us_companies_id_1240,top_2000_id_1088,0.714285714,Intermap Technologies,United Technologies
us_companies_id_1459,top_2000_id_1313,0.714285714,Telenav,Telenor
us_companies_id_1364,top_2000_id_1808,0.714285714,PlaceILive.com,Priceline.com
us_companies_id_1281,top_2000_id_1777,0.714285714,LOVELAND Technologies,Agilent Technologies
us_companies_id_1347,top_2000_id_1777,0.714285714,Palantir Technologies,Agilent Technologies
us_companies_id_1212,top_2000_id_2917,0.7,Healthline,Health Net
us_companies_id_1082,top_2000_id_1517,0.7,,
us_companies_id_1489,top_2000_id_1037,0.7,USAA Group,AXA Group
us_companies_id_1164,top_2000_id_1159,0.7,Farmers,Wesfarmers
